#chrom	chromStart	chromEnd	name	strand	uniprotName	geneName	geneSynonyms
chr3	128971227	128993304	Q9ULG3-1	-	K1257_HUMAN	KIAA1257	
chr3	129001628	129039845	Q9HA90-1	+	EFCC1_HUMAN	EFCC1	C3orf73; CCDC48
chr3	129061739	129062270	P14770	+	GPIX_HUMAN	GP9	
chr3	129091098	129121489	Q86YS6-1	-	RAB43_HUMAN	RAB43	RAB41
chr3	129130083	129160975	Q9ULR0-3	-	ISY1_HUMAN	ISY1	KIAA1160
chr3	129170455	129171757	P62633-1	-	CNBP_HUMAN	CNBP	RNF163; ZNF9
chr3	129249709	129277421	Q9Y678	+	COPG1_HUMAN	COPG1	COPG
chr3	129279732	129304822	Q96FZ2	+	HMCES_HUMAN	HMCES	C3orf37; DC12; SRAPD1
chr3	129315263	129315902	Q92522	-	H1X_HUMAN	H1FX	
chr3	129401595	129428488	Q6NXP0	-	EFC12_HUMAN	EFCAB12	C3orf25
chr3	129431503	129439833	O95243-1	-	MBD4_HUMAN	MBD4	MED1
chr3	129440330	129520262	Q9HBG6-1	+	IF122_HUMAN	IFT122	SPG; WDR10; WDR140
chr3	129528733	129533715	P08100	+	OPSD_HUMAN	RHO	OPN2
chr3	129543218	129551337	Q8IZA3-1	+	H1FOO_HUMAN	H1FOO	H1OO; OSH1
chr3	129556314	129606639	Q9Y4D7-1	-	PLXD1_HUMAN	PLXND1	KIAA0620
chr3	129651483	129828378	O94876-1	-	TMCC1_HUMAN	TMCC1	KIAA0779
chr3	129975816	129977213	P20396	+	TRH_HUMAN	TRH	
chr3	130082016	130098252	C9J202	+	AG1L2_HUMAN	ALG1L2	
chr3	130373638	130477062	A8TX70-1	+	CO6A5_HUMAN	COL6A5	COL29A1; VWA4
chr3	130560364	130675394	A6NMZ7-1	+	CO6A6_HUMAN	COL6A6	
chr3	130679317	130745218	Q99570	-	PI3R4_HUMAN	PIK3R4	VPS15
chr3	130894769	131016154	P98194-1	+	AT2C1_HUMAN	ATP2C1	KIAA1347; PMR1L
chr3	131014059	131025306	Q2TB18-1	-	ASTE1_HUMAN	ASTE1	
chr3	131029708	131349773	Q8NG66-1	+	NEK11_HUMAN	NEK11	
chr3	131381804	131383338	Q96DE0-1	+	NUD16_HUMAN	NUDT16	
chr3	131462725	131502821	P09001	-	RM03_HUMAN	MRPL3	MRL3; RPML3
chr3	131535197	131905443	Q96A23-1	-	CPNE4_HUMAN	CPNE4	
chr3	132317456	132356875	P15309-1	+	PPAP_HUMAN	ACPP	
chr3	132434550	132538279	O75165	+	DJC13_HUMAN	DNAJC13	KIAA0678; RME8
chr3	132558973	132659751	Q709F0-1	-	ACD11_HUMAN	ACAD11	
chr3	132600397	132601447	Q9NPB9	+	ACKR4_HUMAN	ACKR4	CCBP2; CCR11; CCRL1; VSHK1
chr3	132660537	132676523	Q9GZZ9-1	+	UBA5_HUMAN	UBA5	UBE1DC1
chr3	132681912	132722355	Q7Z494-1	-	NPHP3_HUMAN	NPHP3	KIAA2000
chr3	133229311	133395983	Q6UXF1-1	+	TM108_HUMAN	TMEM108	KIAA1690; RTLN
chr3	133400083	133474969	Q13515	+	BFSP2_HUMAN	BFSP2	
chr3	133574044	133588043	Q9UKY7-1	+	CDV3_HUMAN	CDV3	H41
chr3	133601252	133661127	Q92547	-	TOPB1_HUMAN	TOPBP1	KIAA0259
chr3	133746440	133778617	P02787	+	TRFE_HUMAN	TF	
chr3	133805848	133819763	Q9Y5M8	+	SRPRB_HUMAN	SRPRB	
chr3	133828790	133895466	Q9NRW1-1	-	RAB6B_HUMAN	RAB6B	
chr3	133928308	133928803	Q3SXR2	-	CC036_HUMAN	C3orf36	
chr3	133934715	134029802	Q92959	-	SO2A1_HUMAN	SLCO2A1	OATP2A1; SLC21A2
chr3	134158155	134250654	P34925-1	-	RYK_HUMAN	RYK	JTK5A
chr3	134357707	134371433	Q9Y2J4-1	-	AMOL2_HUMAN	AMOTL2	KIAA0989
chr3	134478592	134482904	Q9BS18	-	APC13_HUMAN	ANAPC13	
chr3	134495320	134561532	Q96MT8-1	+	CEP63_HUMAN	CEP63	
chr3	134603896	134650960	Q8NBH2-1	-	KY_HUMAN	KY	
chr3	134795631	135259117	P54762-1	+	EPHB1_HUMAN	EPHB1	ELK; EPHT2; HEK6; NET
chr3	136001498	136145163	Q06190-1	+	P2R3A_HUMAN	PPP2R3A	PPP2R3
chr3	136151149	136195113	Q9HCI7-1	-	MSL2_HUMAN	MSL2	KIAA1585; MSL2L1; RNF184
chr3	136250375	136330023	P05166-1	+	PCCB_HUMAN	PCCB	
chr3	136338256	136630898	Q8WVM7-1	-	STAG1_HUMAN	STAG1	SA1
chr3	136854460	136855696	Q8TBE7	+	S35G2_HUMAN	SLC35G2	TMEM22
chr3	136928001	136948450	P16333-1	+	NCK1_HUMAN	NCK1	NCK
chr3	136958113	137010220	Q6UXL0-1	+	I20RB_HUMAN	IL20RB	DIRS1
chr3	137764784	137765504	O95416	+	SOX14_HUMAN	SOX14	SOX28
chr3	138010225	138031138	P56856-1	+	CLD18_HUMAN	CLDN18	
chr3	138062818	138103971	Q8IYY4-1	-	DZI1L_HUMAN	DZIP1L	
chr3	138124266	138131256	Q9UNA3	-	A4GCT_HUMAN	A4GNT	
chr3	138161891	138174795	Q9UK59-1	-	DBR1_HUMAN	DBR1	
chr3	138187554	138295889	Q8IUR7-1	+	ARMC8_HUMAN	ARMC8	
chr3	138301642	138329335	Q86XW9-1	-	TXND6_HUMAN	NME9	TXL2; TXNDC6
chr3	138372883	138402266	O14807-1	+	RASM_HUMAN	MRAS	RRAS3
chr3	138434798	138476851	A0FGR9-1	+	ESYT3_HUMAN	ESYT3	FAM62C
chr3	138495017	138572927	Q8NHQ1-1	-	CEP70_HUMAN	CEP70	BITE
chr3	138621428	138633076	Q9NVQ4-1	+	FAIM1_HUMAN	FAIM	FAIM1
chr3	138655391	138759343	P42338	-	PK3CB_HUMAN	PIK3CB	PIK3C1
chr3	138945594	138946722	P58012	-	FOXL2_HUMAN	FOXL2	
chr3	138947364	138950569	Q6ZUU3	+	FOXNB_HUMAN	FOXL2NB	C3orf72
chr3	139005470	139006268	A6NEV1	-	PR23A_HUMAN	PRR23A	
chr3	139019866	139020661	Q6ZRT6	-	PR23B_HUMAN	PRR23B	
chr3	139043834	139044620	Q6ZRP0	-	PR23C_HUMAN	PRR23C	
chr3	139344026	139357011	P82650-1	+	RT22_HUMAN	MRPS22	C3orf5; RPMS22
chr3	139357865	139389550	P35606-1	-	COPB2_HUMAN	COPB2	
chr3	139453118	139476459	P50120	-	RET2_HUMAN	RBP2	CRBP2
chr3	139517629	139539532	P09455-1	-	RET1_HUMAN	RBP1	CRBP1
chr3	139561012	139627724	Q96T66-1	-	NMNA3_HUMAN	NMNAT3	
chr3	139935374	140566250	Q9H4D0	+	CSTN2_HUMAN	CLSTN2	CS2
chr3	140678229	140700971	Q8IWZ5-1	+	TRI42_HUMAN	TRIM42	
chr3	140942054	140976450	Q96CQ1-1	+	S2536_HUMAN	SLC25A36	
chr3	141066104	141147266	Q96A44	+	SPSB4_HUMAN	SPSB4	SSB4
chr3	141260175	141293202	Q8TE99-1	+	PXYP1_HUMAN	PXYLP1	ACPL2; HEL124; XYLP
chr3	141442388	141445973	Q8NAP3	+	ZBT38_HUMAN	ZBTB38	
chr3	141487083	141612310	Q15283-1	+	RASA2_HUMAN	RASA2	GAP1M; RASGAP
chr3	141738341	141745274	Q9UBF6-1	+	RBX2_HUMAN	RNF7	RBX2; ROC2; SAG
chr3	141778284	141817047	Q8WTQ7	+	GRK7_HUMAN	GRK7	GPRK7
chr3	141876801	141925698	P54709-1	+	AT1B3_HUMAN	ATP1B3	
chr3	141952515	142101749	Q14188-1	-	TFDP2_HUMAN	TFDP2	DP2
chr3	142165624	142225455	Q6ZS86-1	-	GLPK5_HUMAN	GK5	
chr3	142311513	142447944	Q8IZH2-1	-	XRN1_HUMAN	XRN1	SEP1
chr3	142449431	142578704	Q13535-1	-	ATR_HUMAN	ATR	FRP1
chr3	142664237	142712004	Q14651	+	PLSI_HUMAN	PLS1	
chr3	142724559	142806232	P48995-1	+	TRPC1_HUMAN	TRPC1	TRP1
chr3	142818337	142888896	Q9UKZ9	-	PCOC2_HUMAN	PCOLCE2	PCPE2
chr3	142962205	142963336	Q6ZVX9	-	PAQR9_HUMAN	PAQR9	
chr3	143001628	143056447	O15042-1	+	SR140_HUMAN	U2SURP	KIAA0332; SR140
chr3	143120816	143122406	Q9Y4C5-1	+	CHST2_HUMAN	CHST2	GN6ST
chr3	143266704	143848322	Q8IVB4	-	SL9A9_HUMAN	SLC9A9	NHE9
chr3	143972332	143989838	Q8NDZ4-1	+	DIA1_HUMAN	C3orf58	DIA1
chr3	146070719	146160989	O00469-1	-	PLOD2_HUMAN	PLOD2	
chr3	146194413	146222071	Q9NRQ2-1	-	PLS4_HUMAN	PLSCR4	
chr3	146441794	146461873	Q9NRY7-2	-	PLS2_HUMAN	PLSCR2	
chr3	146516047	146536552	O15162-1	-	PLS1_HUMAN	PLSCR1	
chr3	146586076	146605212	A0PG75-1	-	PLS5_HUMAN	PLSCR5	
chr3	147390932	147402797	Q8N9L1-1	-	ZIC4_HUMAN	ZIC4	
chr3	147410112	147413548	Q15915	+	ZIC1_HUMAN	ZIC1	ZIC; ZNF201
chr3	148741035	148742112	P30556	+	AGTR1_HUMAN	AGTR1	AGTR1A; AGTR1B; AT2R1; AT2R1B
chr3	148827823	148859999	P15086	+	CBPB1_HUMAN	CPB1	CPB; PCPB
chr3	148865307	148896704	P15088	+	CBPA3_HUMAN	CPA3	
chr3	148991640	149026930	P46976-1	+	GLYG_HUMAN	GYG1	GYG
chr3	149032222	149086336	Q14527-1	-	HLTF_HUMAN	HLTF	HIP116A; RNF80; SMARCA3; SNF2L3; ZBU1
chr3	149129723	149172219	Q969F9-1	+	HPS3_HUMAN	HPS3	
chr3	149173716	149221792	P00450	-	CERU_HUMAN	CP	
chr3	149321480	149333382	Q96CE8	-	T4S18_HUMAN	TM4SF18	
chr3	149369868	149377547	P30408	-	T4S1_HUMAN	TM4SF1	M3S1; TAAL6
chr3	149474877	149502690	P48230	+	T4S4_HUMAN	TM4SF4	ILTMP
chr3	149520807	149657306	Q9GZV5	-	WWTR1_HUMAN	WWTR1	TAZ
chr3	149741523	149752444	Q86X83-1	-	COMD2_HUMAN	COMMD2	
chr3	149767419	149792366	A6NFN9-1	-	ANKUB_HUMAN	ANKUB1	C3orf16
chr3	149846026	149961101	O43567-1	+	RNF13_HUMAN	RNF13	RZF
chr3	149966491	149970856	P35080-1	-	PROF2_HUMAN	PFN2	
chr3	150409350	150458633	O75157-1	+	T22D2_HUMAN	TSC22D2	KIAA0669; TILZ4
chr3	150544460	150546135	Q9Y6X1	-	SERP1_HUMAN	SERP1	RAMP4
chr3	150546802	150583908	Q9BY44-1	+	EIF2A_HUMAN	EIF2A	
chr3	150603362	150627131	P62341	+	SELT_HUMAN	SELENOT	SELT
chr3	150659894	150703898	Q7L0X2-1	-	ERIP6_HUMAN	ERICH6	C3orf44; FAM194A
chr3	150742143	150762849	O43255	-	SIAH2_HUMAN	SIAH2	
chr3	150871047	150903257	A8MYZ0	-	MIY4B_HUMAN	MINDY4B	C3orf76; FAM188B2
chr3	150927938	150972708	P58418-3	-	CLRN1_HUMAN	CLRN1	USH3A
chr3	151086926	151432801	Q86YW9-1	+	MD12L_HUMAN	MED12L	KIAA1635; TNRC11L; TRALP; TRALPUSH
chr3	151198429	151199386	O14626	-	GP171_HUMAN	GPR171	H963
chr3	151213302	151214316	Q15391	-	P2Y14_HUMAN	P2RY14	GPR105; KIAA0001
chr3	151294171	151300100	Q9BY21	-	GPR87_HUMAN	GPR87	GPR95
chr3	151327993	151329528	Q9BPV8-1	-	P2Y13_HUMAN	P2RY13	GPR86; GPR94
chr3	151337819	151338845	Q9H244	-	P2Y12_HUMAN	P2RY12	HORK3
chr3	151436691	151458709	Q6WRI0-1	-	IGS10_HUMAN	IGSF10	CMF608
chr3	151734035	151757591	Q6P093-1	+	ADCL2_HUMAN	AADACL2	
chr3	151814162	151828169	P22760	+	AAAD_HUMAN	AADAC	DAC
chr3	151879892	151881545	Q9BXA5	+	SUCR1_HUMAN	SUCNR1	GPR91
chr3	152300193	152459324	Q9NR56-1	+	MBNL1_HUMAN	MBNL1	EXP; KIAA0428; MBNL
chr3	152835782	152836901	P47900	+	P2RY1_HUMAN	P2RY1	
chr3	153162693	153163242	P61225	+	RAP2B_HUMAN	RAP2B	
chr3	154121992	154255470	Q96DR7-1	+	ARHGQ_HUMAN	ARHGEF26	SGEF
chr3	154276173	154324416	Q9H2U1-1	-	DHX36_HUMAN	DHX36	DDX36; KIAA1488; MLEL1; RHAU
chr3	154337701	154429615	Q86SP6	-	GP149_HUMAN	GPR149	PGR10
chr3	155084167	155180456	P08473	+	NEP_HUMAN	MME	EPN
chr3	155290946	155293632	P0DN84	-	DWORF_HUMAN		
chr3	155480970	155676039	Q4KWH8-1	-	PLCH1_HUMAN	PLCH1	KIAA1069; PLCL3
chr3	155763519	155806252	Q6P1S2-1	-	CC033_HUMAN	C3orf33	
chr3	155828212	155853997	O00400	-	ACATN_HUMAN	SLC33A1	ACATN; AT1
chr3	155870870	155937689	P49915-1	+	GUAA_HUMAN	GMPS	
chr3	156120611	156536744	Q14722-1	+	KCAB1_HUMAN	KCNAB1	KCNA1B
chr3	156543205	156555089	Q9UNL2-1	-	SSRG_HUMAN	SSR3	TRAPG
chr3	156677697	156705128	Q7Z3E1	+	PARPT_HUMAN	TIPARP	PARP7
chr3	156993080	157045747	Q6ZMV7	+	LEKR1_HUMAN	LEKR1	
chr3	157148243	157160094	Q9UK58-1	-	CCNL1_HUMAN	CCNL1	
chr3	157261136	157495349	Q14D04-1	-	MELT_HUMAN	VEPH1	KIAA1692; VEPH
chr3	157436933	157442976	P26022	+	PTX3_HUMAN	PTX3	TNFAIP5; TSG14
chr3	157553257	157600295	A1A4F0-1	+	CC055_HUMAN	PQLC2L	C3orf55
chr3	158098029	158106024	O60902-1	-	SHOX2_HUMAN	SHOX2	OG12X; SHOT
chr3	158122104	158544272	Q96IZ7-1	+	RSRC1_HUMAN	RSRC1	SRRP53
chr3	158571300	158605199	P58340-1	+	MLF1_HUMAN	MLF1	
chr3	158644634	158691464	Q96RP9-1	+	EFGM_HUMAN	GFM1	EFG; EFG1; GFM
chr3	158666648	158672478	Q9BS40	-	LXN_HUMAN	LXN	
chr3	158697680	158732415	P49788-1	-	TIG1_HUMAN	RARRES1	PEIG1; TIG1
chr3	158802152	158828979	Q9H3U5-1	+	MFSD1_HUMAN	MFSD1	SMAP4
chr3	159069432	159265400	Q1A5X6-1	+	IQCJ_HUMAN	IQCJ	
chr3	159273820	159896771	Q9P0W5-1	+	SCHI1_HUMAN	SCHIP1	
chr3	159989158	159995556	P29459	+	IL12A_HUMAN	IL12A	NKSF1
chr3	160225635	160226376	F5H4A9	+	CC080_HUMAN	C3orf80	
chr3	160258527	160384600	Q9P2H3-1	-	IFT80_HUMAN	IFT80	KIAA1374; WDR56
chr3	160400826	160433806	Q9NTJ3-1	+	SMC4_HUMAN	SMC4	CAPC; SMC4L1
chr3	160437974	160439183	Q8IWR1-1	-	TRI59_HUMAN	TRIM59	RNF104; TRIM57; TSBF1
chr3	160502106	160565282	O00629	-	IMA3_HUMAN	KPNA4	QIP1
chr3	160677346	160677922	Q8N4G2	+	ARL14_HUMAN	ARL14	ARF7
chr3	160756308	161069154	Q5SGD2-1	+	PPM1L_HUMAN	PPM1L	PP2CE
chr3	161085761	161086754	O75752	-	B3GL1_HUMAN	B3GALNT1	B3GALT3
chr3	161222013	161250907	Q96D46	+	NMD3_HUMAN	NMD3	
chr3	161346095	161346323	Q8NFR3	-	SPTSB_HUMAN	SPTSSB	ADMP; C3orf57; SSSPTB
chr3	161496807	161503939	A6NHN0	+	OTOL1_HUMAN	OTOL1	
chr3	164979364	165076012	P14410	-	SUIS_HUMAN	SI	
chr3	165187899	165190830	O94933	-	SLIK3_HUMAN	SLITRK3	KIAA0848
chr3	165773384	165831033	P06276	-	CHLE_HUMAN	BCHE	CHE1
chr3	167240795	167372901	A8MT70-1	-	ZBBX_HUMAN	ZBBX	
chr3	167442111	167471834	O75830	-	SPI2_HUMAN	SERPINI2	MEPI; PI14
chr3	167478880	167604403	Q8IV35-1	-	WDR49_HUMAN	WDR49	
chr3	167684310	167720157	Q9BUL8	-	PDC10_HUMAN	PDCD10	CCM3; TFAR15
chr3	167789128	167825320	Q99574	+	NEUS_HUMAN	SERPINI1	PI12
chr3	168010271	168095285	O00461	-	GOLI4_HUMAN	GOLIM4	GIMPC; GOLPH4; GPP130
chr3	169084911	169131477	Q03112-1	-	EVI1_HUMAN	MECOM	EVI1
chr3	169143829	169663372	Q13465-1	-	MDS1_HUMAN	MECOM	MDS1
chr3	169767434	169769520	Q9BYD9	-	ACTT3_HUMAN	ACTRT3	ARPM1
chr3	169774295	169786675	Q9NPC7-1	+	MYNN_HUMAN	MYNN	OSZF; ZBTB31
chr3	169793637	169812509	Q8IZ02-1	-	LRC34_HUMAN	LRRC34	
chr3	169821921	169837628	A6NIV6	+	LRIQ4_HUMAN	LRRIQ4	LRRC64
chr3	169839984	169869807	Q6UY01-1	-	LRC31_HUMAN	LRRC31	
chr3	169919498	169938503	Q7Z3H4	+	SAMD7_HUMAN	SAMD7	
chr3	169966822	169993060	Q99442	+	SEC62_HUMAN	SEC62	TLOC1
chr3	170083972	170084986	Q9UJ42	+	GP160_HUMAN	GPR160	GPCR150
chr3	170097232	170178916	Q8NDX5-1	-	PHC3_HUMAN	PHC3	EDR3; PH3
chr3	170222669	170303124	P41743	+	KPCI_HUMAN	PRKCI	DXS1179E
chr3	170360331	170392414	P12757-1	+	SKIL_HUMAN	SKIL	SNO
chr3	170419066	170432753	O75508	+	CLD11_HUMAN	CLDN11	OSP; OTM
chr3	170467057	170526936	Q8TBB6	-	S7A14_HUMAN	SLC7A14	KIAA1613
chr3	170866382	170870167	Q6P5R6	-	RL22L_HUMAN	RPL22L1	
chr3	170893362	170907806	Q9GZV4	-	IF5A2_HUMAN	EIF5A2	
chr3	170997905	171026670	P11168-1	-	GTR2_HUMAN	SLC2A2	GLUT2
chr3	171063883	171460063	Q9UKE5-1	-	TNIK_HUMAN	TNIK	KIAA0551
chr3	171603080	171738051	Q13393-1	-	PLD1_HUMAN	PLD1	
chr3	171843383	171856701	A6NML5	+	TM212_HUMAN	TMEM212	
chr3	172112479	172397472	Q53EP0-1	+	FND3B_HUMAN	FNDC3B	FAD104; NS5ABP37
chr3	172445163	172448413	Q92847-1	-	GHSR_HUMAN	GHSR	
chr3	172506494	172523384	P50591-1	-	TNF10_HUMAN	TNFSF10	APO2L; TRAIL
chr3	172633477	172710984	Q6PIU2-1	-	NCEH1_HUMAN	NCEH1	AADACL1; KIAA1363
chr3	172754530	172820234	Q9H8V3-1	+	ECT2_HUMAN	ECT2	
chr3	172889572	173117731	Q9BXB7	-	SPT16_HUMAN	SPATA16	
chr3	173604598	174281300	Q8N2Q7-1	+	NLGN1_HUMAN	NLGN1	KIAA1070
chr3	174859407	175803200	Q58DX5-1	+	NADL2_HUMAN	NAALADL2	
chr3	177025500	177064977	Q9BZK7	-	TBL1R_HUMAN	TBL1XR1	IRA1; TBLR1
chr3	178807409	178842934	Q9Y691	+	KCMB2_HUMAN	KCNMB2	
chr3	179025019	179067752	Q9HA38-1	-	ZMAT3_HUMAN	ZMAT3	PAG608; WIG1
chr3	179198825	179234361	P42336	+	PK3CA_HUMAN	PIK3CA	
chr3	179242906	179251103	Q9NPA1-1	-	KCMB3_HUMAN	KCNMB3	KCNMB2; KCNMBL
chr3	179328293	179334419	Q9UID6	+	ZN639_HUMAN	ZNF639	ZASC1
chr3	179348851	179392056	Q8IWA4-1	+	MFN1_HUMAN	MFN1	
chr3	179401215	179426200	Q9HAV0	-	GBB4_HUMAN	GNB4	
chr3	179562933	179588007	O96019-1	+	ACL6A_HUMAN	ACTL6A	BAF53; BAF53A; INO80K
chr3	179588874	179604624	Q9HD33-1	-	RM47_HUMAN	MRPL47	NCM1
chr3	179604815	179624037	O43674-1	+	NDUB5_HUMAN	NDUFB5	
chr3	179653225	179784138	Q92995-1	+	UBP13_HUMAN	USP13	ISOT3
chr3	179801830	180036599	Q8IYB4-1	-	PEX5R_HUMAN	PEX5L	PEX5R; PXR2
chr3	180602261	180610539	Q96N46-1	+	TTC14_HUMAN	TTC14	KIAA1980
chr3	180614923	180679380	Q9UFE4-1	-	CCD39_HUMAN	CCDC39	
chr3	180912685	180976289	P51114-1	+	FXR1_HUMAN	FXR1	
chr3	180984642	180989602	Q96DA6-1	-	TIM14_HUMAN	DNAJC19	TIM14; TIMM14
chr3	181712360	181713311	P48431	+	SOX2_HUMAN	SOX2	
chr3	182793759	182918101	Q9Y2G3	+	AT11B_HUMAN	ATP11B	ATPIF; ATPIR; KIAA0956
chr3	182945096	182980489	Q96GG9	-	DCNL1_HUMAN	DCUN1D1	DCUN1L1; RP42; SCCRO
chr3	183015440	183099440	Q96RQ3	-	MCCA_HUMAN	MCCC1	MCCA
chr3	183124083	183162655	Q9UQV4	-	LAMP3_HUMAN	LAMP3	DCLAMP; TSC403
chr3	183179382	183427977	Q86YR7-1	-	MF2L2_HUMAN	MCF2L2	DRG; KIAA0861
chr3	183269798	183270932	Q9BYG0	+	B3GN5_HUMAN	B3GNT5	
chr3	183491929	183555653	Q8WZ60	-	KLHL6_HUMAN	KLHL6	
chr3	183650356	183679283	Q6TFL4-1	+	KLH24_HUMAN	KLHL24	DRE1
chr3	183715162	183810580	Q9ULM3	+	YETS2_HUMAN	YEATS2	KIAA1197
chr3	183817358	183825547	Q9H9H5	-	MA6D1_HUMAN	MAP6D1	
chr3	183829600	183884846	Q9H300-1	-	PARL_HUMAN	PARL	PSARL
chr3	183921302	184014392	O15440-1	-	MRP5_HUMAN	ABCC5	MRP5
chr3	184032830	184038972	Q70Z44-1	+	5HT3D_HUMAN	HTR3D	
chr3	184053080	184060349	Q8WXA8	+	5HT3C_HUMAN	HTR3C	
chr3	184097529	184106690	A5X5Y0-1	+	5HT3E_HUMAN	HTR3E	
chr3	184135385	184144940	Q13144	+	EI2BE_HUMAN	EIF2B5	EIF2BE
chr3	184155635	184170752	Q92997-1	+	DVL3_HUMAN	DVL3	KIAA0208
chr3	184176993	184183613	Q96CW1-1	+	AP2M1_HUMAN	AP2M1	CLAPM1; KIAA0109
chr3	184186207	184193695	Q9NUQ8-1	+	ABCF3_HUMAN	ABCF3	
chr3	184230528	184242035	Q8N398-1	+	VW5B2_HUMAN	VWA5B2	
chr3	184242516	184248940	Q92685-1	-	ALG3_HUMAN	ALG3	NOT; NOT56L
chr3	184249694	184292235	O60344-1	+	ECE2_HUMAN	ECE2	KIAA0604
chr3	184260159	184261285	Q96S95	-	CK2N2_HUMAN	CAMK2N2	
chr3	184299266	184308887	Q13200-1	+	PSMD2_HUMAN	PSMD2	TRAP2
chr3	184315796	184334905	Q04637-1	+	IF4G1_HUMAN	EIF4G1	EIF4F; EIF4G; EIF4GI
chr3	184341833	184344967	Q6UXB0-1	+	F131A_HUMAN	FAM131A	C3orf40
chr3	184346608	184361479	P51788-1	-	CLCN2_HUMAN	CLCN2	
chr3	184363492	184368291	P52434-1	+	RPAB3_HUMAN	POLR2H	
chr3	184372515	184376259	P40225-1	-	TPO_HUMAN	THPO	MGDF
chr3	184380318	184389419	Q9H2X0-1	+	CHRD_HUMAN	CHRD	
chr3	184562235	184581619	P54753	+	EPHB3_HUMAN	EPHB3	ETK2; HEK2; TYRO6
chr3	184710900	184711821	Q9HAY2	-	MAGF1_HUMAN	MAGEF1	
chr3	184824632	185052022	Q8N3P4-1	+	VPS8_HUMAN	VPS8	KIAA0804
chr3	185083009	185152823	A6NLC5	-	CC070_HUMAN	C3orf70	
chr3	185192228	185254022	Q08426-1	-	ECHP_HUMAN	EHHADH	ECHD
chr3	185428581	185482453	O43283-1	+	M3K13_HUMAN	MAP3K13	LZK
chr3	185491539	185498961	Q96HV5	-	TM41A_HUMAN	TMEM41A	
chr3	185508792	185552471	Q8WWY8	-	LIPH_HUMAN	LIPH	LPDLR; MPAPLA1; PLA1B
chr3	185586413	185629841	Q9HC62-1	+	SENP2_HUMAN	SENP2	KIAA1331
chr3	185645533	185824960	Q9Y6M1-2	-	IF2B2_HUMAN	IGF2BP2	IMP2; VICKZ2
chr3	185917717	185937860	P62995-1	-	TRA2B_HUMAN	TRA2B	SFRS10
chr3	186048641	186105868	P41161-1	-	ETV5_HUMAN	ETV5	ERM
chr3	186150092	186320459	P49619-1	-	DGKG_HUMAN	DGKG	DAGK3
chr3	186538698	186544326	P22914	-	CRBS_HUMAN	CRYGS	CRYG8
chr3	186551152	186564329	Q9NVR7-1	-	TBCC1_HUMAN	TBCCD1	
chr3	186570897	186585405	Q9UBS4	+	DJB11_HUMAN	DNAJB11	EDJ; ERJ3; HDJ9
chr3	186613141	186620927	P02765	+	FETUA_HUMAN	AHSG	FETUA
chr3	186640460	186652628	Q9UGM5-1	+	FETUB_HUMAN	FETUB	
chr3	186666031	186677880	P04196	+	HRG_HUMAN	HRG	
chr3	186717542	186742328	P01042-1	+	KNG1_HUMAN	KNG1	BDK; KNG
chr3	186783610	186789266	Q14240-1	+	IF4A2_HUMAN	EIF4A2	DDX2B; EIF4F
chr3	186789971	186804713	P35249-1	-	RFC4_HUMAN	RFC4	
chr3	186853058	186854701	Q15848	+	ADIPO_HUMAN	ADIPOQ	ACDC; ACRP30; APM1; GBP28
chr3	187042703	187075800	P15907-1	+	SIAT1_HUMAN	ST6GAL1	SIAT1
chr3	187121147	187121300	Q96EH5	-	RL39L_HUMAN	RPL39L	RPL39L1
chr3	187197515	187200067	P59025	+	RTP1_HUMAN	RTP1	Z3CXXC1
chr3	187220073	187291632	P48740-1	-	MASP1_HUMAN	MASP1	CRARF; CRARF1; PRSS5
chr3	187368441	187371370	Q96DX8	+	RTP4_HUMAN	RTP4	IFRG28; Z3CXXC4
chr3	187669067	187670291	P61278	-	SMS_HUMAN	SST	
chr3	187698500	187702128	Q5QGT7	-	RTP2_HUMAN	RTP2	Z3CXXC2
chr3	187722460	187733693	P41182-1	-	BCL6_HUMAN	BCL6	BCL5; LAZ3; ZBTB27; ZNF51
chr3	188406120	188874476	Q93052	+	LPP_HUMAN	LPP	
chr3	189207384	189320817	Q6ZUI0	+	TPRG1_HUMAN	TPRG1	FAM79B
chr3	189631515	189894499	Q9H3D4-1	+	P63_HUMAN	TP63	KET; P63; P73H; P73L; TP73L
chr3	189957914	190120731	Q8IVL5-1	-	P3H2_HUMAN	P3H2	LEPREL1; MLAT4
chr3	190308279	190322206	O95832	-	CLD1_HUMAN	CLDN1	CLD1; SEMP1
chr3	190388119	190410033	Q9Y5I7	+	CLD16_HUMAN	CLDN16	PCLN1
chr3	190429597	190449809	Q6UWW9	-	TM207_HUMAN	TMEM207	
chr3	190564289	190648702	Q9NPH3-1	+	IL1AP_HUMAN	IL1RAP	C3orf13; IL1R3
chr3	190855297	190862615	A6NCL1	-	GEMC1_HUMAN	GMNC	GEMC1
chr3	191212532	191250118	P61366	+	OSTN_HUMAN	OSTN	
chr3	191268418	191282189	Q765I0	-	UTS2B_HUMAN	UTS2B	URP; UTS2D
chr3	191329674	191391757	Q8IVM0-1	+	CCD50_HUMAN	CCDC50	C3orf6
chr3	191461162	191461453	Q56P42	+	PYDC2_HUMAN	PYDC2	POP2
chr3	192144011	192408223	P61328-1	-	FGF12_HUMAN	FGF12	FGF12B; FHF1
chr3	192798388	192917840	Q8IYB1	-	M21D2_HUMAN	MB21D2	C3orf59
