X.chrom	Start	End	Region	within10m	within500k	within250k	dist
chr6	117672972	118963115	region709	1	0	0	645
chr7	153674019	154964730	region839	1	0	0	645
chr18	35075250	36365490	region1551	1	0	0	645
chr21	22072764	23362875	region1661	1	0	0	645
chr2	65933444	67226166	region176	1	0	0	646
chr5	13464832	14757804	region532	1	0	0	646
chr3	154714218	156008700	region373	1	0	0	647
chr2	208645399	209941529	region256	1	0	0	648
chr4	38907022	40202609	region431	1	0	0	648
chr3	183769683	185068255	region390	1	0	0	649
chr10	57662146	58959528	region1047	1	0	0	649
chr21	35225465	36524373	region1670	1	0	0	649
chr3	27840910	29142260	region298	1	0	0	651
chr9	7154923	8456299	region944	1	0	0	651
chr3	156008700	157312028	region374	1	0	0	652
chr4	182066807	183371275	region516	1	0	0	652
chr5	7143218	8446336	region528	1	0	0	652
chr9	3190064	4495328	region940	1	0	0	653
chr2	64625913	65933444	region175	1	0	0	654
chr22	47596318	48903703	region1701	1	0	0	654
chr10	25578596	26888684	region1029	1	0	0	655
chr12	109025901	110336719	region1245	1	0	0	655
chr16	13154437	14464002	region1443	1	0	0	655
chr2	237449032	238760981	region273	1	0	0	656
chr7	9987499	11299198	region755	1	0	0	656
chr3	62355666	63669286	region319	1	0	0	657
chr4	107501305	108815348	region469	1	0	0	657
chr7	7808752	9123423	region753	1	0	0	657
chr18	55213838	56530220	region1561	1	0	0	658
chr21	46177105	47492226	region1678	1	0	0	658
chr18	36365490	37684367	region1552	1	0	0	659
chr11	106520894	107844200	region1157	1	0	0	662
chr13	112247592	113572488	region1322	1	0	0	662
chr9	115693145	117019801	region994	1	0	0	663
chr4	30454535	31782981	region425	1	0	0	664
chr10	92006581	93335047	region1068	1	0	0	664
chr3	170964909	172295731	region382	1	0	0	665
chr4	90231564	91560677	region460	1	0	0	665
chr10	58959528	60289987	region1048	1	0	0	665
chr19	3019660	4348967	region1582	1	0	0	665
chr11	95726041	97057058	region1150	1	0	0	666
chr14	77229472	78561945	region1359	1	0	0	666
chr1	5913893	7247335	region5	1	0	0	667
chr6	148920352	150253404	region728	1	0	0	667
chr21	23362875	24696231	region1662	1	0	0	667
chr7	11299198	12635461	region756	1	0	0	668
chr14	105001723	106340358	region1378	1	0	0	669
chr1	232090252	233429284	region121	1	0	0	670
chr6	168042835	169382050	region741	1	0	0	670
chr5	4632110	5973233	region526	1	0	0	671
chr5	22152073	23494324	region537	1	0	0	671
chr7	36213538	37555184	region770	1	0	0	671
chr9	104624437	105967976	region987	1	0	0	672
chr13	53339622	54682864	region1284	1	0	0	672
chr1	203334734	204681068	region105	1	0	0	673
chr2	23341383	24686918	region147	1	0	0	673
chr4	164478234	165823448	region505	1	0	0	673
chr6	102636772	103983395	region700	1	0	0	673
chr6	145319810	146665424	region726	1	0	0	673
chr11	111114397	112459488	region1161	1	0	0	673
chr16	52035823	53382572	region1457	1	0	0	673
chr21	36524373	37870779	region1671	1	0	0	673
chr1	21736588	23086883	region15	1	0	0	675
chr4	189693511	191043594	region521	1	0	0	675
chr9	137589364	138938978	region1008	1	0	0	675
chr5	95963519	97315601	region578	1	0	0	676
chr13	22242174	23594702	region1264	1	0	0	676
chr3	115447080	116800153	region349	1	0	0	677
chr22	22357325	23712647	region1684	1	0	0	678
chr1	238567807	239925314	region126	1	0	0	679
chr2	19692404	21050490	region145	1	0	0	679
chr4	96182188	97540703	region463	1	0	0	679
chr11	21017138	22374142	region1110	1	0	0	679
chr19	44744108	46102697	region1609	1	0	0	679
chr20	2469501	3828413	region1620	1	0	0	679
chr11	70926292	72286017	region1135	1	0	0	680
chr12	127875098	129237297	region1257	1	0	0	681
chr4	1478711	2842979	region402	1	0	0	682
chr11	116383348	117747110	region1165	1	0	0	682
chr8	110484314	111850847	region917	1	0	0	683
chr3	188856214	190226607	region393	1	0	0	685
chr5	107264196	108633934	region585	1	0	0	685
chr12	37856717	39227169	region1203	1	0	0	685
chr4	9326479	10699152	region410	1	0	0	686
chr5	105893055	107264196	region584	1	0	0	686
chr17	31538425	32912798	region1503	1	0	0	687
chr6	73924	1452362	region632	1	0	0	689
chr18	42922106	44299246	region1555	1	0	0	689
chr5	139265072	140645971	region604	1	0	0	690
chr13	37498185	38878163	region1275	1	0	0	690
chr3	60157	1441779	region278	1	0	0	691
chr16	57664330	59045405	region1460	1	0	0	691
chr3	74321817	75704949	region327	1	0	0	692
chr3	139954597	141339097	region363	1	0	0	692
chr5	35048970	36433954	region545	1	0	0	692
chr2	154005056	155391135	region225	1	0	0	693
chr7	146427960	147815318	region834	1	0	0	694
chr4	31782981	33172766	region426	1	0	0	695
chr6	136224177	137614218	region721	1	0	0	695
chr18	57630483	59020751	region1563	1	0	0	695
chr1	204681068	206073265	region106	1	0	0	696
chr15	51677560	53069096	region1400	1	0	0	696
chr15	99244059	100636847	region1427	1	0	0	696
chr6	106056733	107450306	region702	1	0	0	697
chr6	120512128	121905676	region712	1	0	0	697
chr14	80186579	81579714	region1361	1	0	0	697
chr16	87647349	89041165	region1482	1	0	0	697
chr17	15019097	16412342	region1497	1	0	0	697
chr8	15991660	17387876	region860	1	0	0	698
chr9	109298754	110695062	region990	1	0	0	698
chr1	244109499	245506746	region131	1	0	0	699
chr9	10879253	12276489	region947	1	0	0	699
chr13	77410555	78808813	region1299	1	0	0	699
chr2	138698117	140100271	region215	1	0	0	701
chr10	33707968	35109355	region1035	1	0	0	701
chr1	230685255	232090252	region120	1	0	0	702
chr13	104844114	106247554	region1315	1	0	0	702
chr2	236043550	237449032	region272	1	0	0	703
chr14	43137389	44543227	region1337	1	0	0	703
chr12	130377921	131786751	region1259	1	0	0	704
chr18	7090485	8498931	region1536	1	0	0	704
chr11	69516130	70926292	region1134	1	0	0	705
chr7	37555184	38966703	region771	1	0	0	706
chr10	4572274	5983762	region1016	1	0	0	706
chr5	111981562	113396285	region588	1	0	0	707
chr3	25461558	26877769	region296	1	0	0	708
chr3	131836516	133252173	region359	1	0	0	708
chr11	121175943	122591910	region1169	1	0	0	708
chr13	109815112	111232073	region1320	1	0	0	708
chr18	69621618	71038474	region1572	1	0	0	708
chr3	123517768	124936642	region354	1	0	0	709
chr4	161826435	163243679	region503	1	0	0	709
chr5	90422654	91840542	region575	1	0	0	709
chr6	11790816	13209388	region642	1	0	0	709
chr22	49824534	51243298	region1703	1	0	0	709
chr13	97519210	98938919	region1310	1	0	0	710
chr8	70867979	72289454	region894	1	0	0	711
chr15	42776399	44198049	region1395	1	0	0	711
chr7	152249806	153674019	region838	1	0	0	712
chr20	23293790	24717724	region1634	1	0	0	712
chr14	94325285	95750867	region1371	1	0	0	713
chr15	30165568	31591821	region1386	1	0	0	713
chr4	83372593	84799656	region455	1	0	0	714
chr8	31548360	32977218	region873	1	0	0	714
chr21	18053165	19480375	region1658	1	0	0	714
chr2	123302906	124732250	region204	1	0	0	715
chr7	141226557	142656310	region831	1	0	0	715
chr11	108437037	109866116	region1159	1	0	0	715
chr12	126445505	127875098	region1256	1	0	0	715
chr14	21589402	23018665	region1325	1	0	0	715
chr14	63790015	65220298	region1352	1	0	0	715
chr10	102949239	104380410	region1075	1	0	0	716
chr13	96087558	97519210	region1309	1	0	0	716
chr17	11102815	12534769	region1493	1	0	0	716
chr5	113396285	114830370	region589	1	0	0	717
chr1	110303931	111741737	region68	1	0	0	719
chr6	165586864	167024733	region739	1	0	0	719
chr2	128034347	129474441	region208	1	0	0	720
chr3	2992120	4431647	region280	1	0	0	720
chr13	106750000	108189877	region1317	1	0	0	720
chr15	53069096	54508528	region1401	1	0	0	720
chr1	9365199	10806984	region7	1	0	0	721
chr18	67175820	68621179	region1570	1	0	0	723
chr10	30458838	31907519	region1033	1	0	0	724
chr11	19569535	21017138	region1109	1	0	0	724
chr12	9031395	10481534	region1188	1	0	0	725
chr1	200137649	201589975	region103	1	0	0	726
chr3	120523055	121974097	region352	1	0	0	726
chr6	162931203	164383521	region737	1	0	0	726
chr8	93554386	95005527	region907	1	0	0	726
chr13	36046367	37498185	region1274	1	0	0	726
chr19	51532567	52985290	region1613	1	0	0	726
chr4	118479918	119933512	region475	1	0	0	727
chr5	9718832	11173271	region530	1	0	0	727
chr4	15927009	17383322	region415	1	0	0	728
chr6	156763326	158218719	region733	1	0	0	728
chr8	85955619	87411709	region903	1	0	0	728
chr3	153256571	154714218	region372	1	0	0	729
chr4	17383322	18841874	region416	1	0	0	729
chr16	25986862	27445755	region1451	1	0	0	729
chr4	66600492	68059497	region445	1	0	0	730
chr7	71874885	73334602	region790	1	0	0	730
chr7	144968289	146427960	region833	1	0	0	730
chr16	8338519	9799419	region1438	1	0	0	730
chr11	27020461	28481593	region1114	1	0	0	731
chr16	62229849	63691589	region1463	1	0	0	731
chr19	4348967	5811852	region1583	1	0	0	731
chr3	167117429	168580960	region380	1	0	0	732
chr10	35109355	36572508	region1036	1	0	0	732
chr12	1080331	2544786	region1181	1	0	0	732
chr3	14816900	16282442	region288	1	0	0	733
chr8	134570001	136035605	region930	1	0	0	733
chr1	38731847	40200567	region24	1	0	0	734
chr7	54222976	55691584	region782	1	0	0	734
chr11	117747110	119215476	region1166	1	0	0	734
chr12	124977980	126445505	region1255	1	0	0	734
chr19	18409862	19877471	region1593	1	0	0	734
chr8	139254830	140725643	region933	1	0	0	735
chr1	169086324	170557776	region85	1	0	0	736
chr7	92493752	93966601	region800	1	0	0	736
chr21	31197025	32668642	region1667	1	0	0	736
chr4	24135529	25609322	region420	1	0	0	737
chr10	8774665	10249396	region1019	1	0	0	737
chr3	9543183	11019665	region285	1	0	0	738
chr3	41064528	42540002	region307	1	0	0	738
chr13	32301815	33776903	region1271	1	0	0	738
chr16	80297374	81772536	region1474	1	0	0	738
chr22	44995308	46470495	region1699	1	0	0	738
chr6	132765669	134244243	region719	1	0	0	739
chr13	84133144	85610916	region1303	1	0	0	739
chr14	101534307	103012102	region1376	1	0	0	739
chr5	147181998	148662624	region608	1	0	0	740
chr8	26682525	28162392	region869	1	0	0	740
chr7	98715474	100196651	region804	1	0	0	741
chr21	19480375	20962339	region1659	1	0	0	741
chr11	94242260	95726041	region1149	1	0	0	742
chr16	60745694	62229849	region1462	1	0	0	742
chr20	17487232	18972203	region1630	1	0	0	742
chr5	38802410	40287729	region547	1	0	0	743
chr10	53616629	55103572	region1044	1	0	0	743
chr8	136035605	137524151	region931	1	0	0	744
chr19	610729	2098396	region1580	1	0	0	744
chr16	16154060	17644749	region1445	1	0	0	745
chr3	45165153	46657500	region309	1	0	0	746
chr6	56105313	57599465	region673	1	0	0	747
chr7	157634597	159128575	region842	1	0	0	747
chr3	103084960	104581613	region342	1	0	0	748
chr9	85440801	86938196	region977	1	0	0	749
chr3	113947863	115447080	region348	1	0	0	750
chr7	51675322	53176312	region780	1	0	0	750
chr9	72753755	74253040	region968	1	0	0	750
chr13	25784362	27284362	region1267	1	0	0	750
chr5	87389991	88891530	region573	1	0	0	751
chr7	132805848	134307596	region824	1	0	0	751
chr14	49005471	50507760	region1342	1	0	0	751
chr14	84241633	85746319	region1364	1	0	0	752
chr12	94514567	96020785	region1235	1	0	0	753
chr14	28466533	29972145	region1329	1	0	0	753
chr16	18643607	20150571	region1447	1	0	0	753
chr5	159973944	161482133	region616	1	0	0	754
chr1	177433381	178944309	region89	1	0	0	755
chr11	68005825	69516130	region1133	1	0	0	755
chr9	81079055	82590928	region974	1	0	0	756
chr3	77508835	79024541	region329	1	0	0	758
chr5	115831047	117346213	region591	1	0	0	758
chr8	119685457	121201700	region921	1	0	0	758
chr18	30264066	31780067	region1548	1	0	0	758
chr19	32746520	34262952	region1601	1	0	0	758
chr2	54685226	56203345	region169	1	0	0	759
chr2	152486782	154005056	region224	1	0	0	759
chr15	46618787	48136048	region1397	1	0	0	759
chr20	9730921	11249536	region1625	1	0	0	759
chr6	9020026	10540317	region640	1	0	0	760
chr6	67329215	68849483	region678	1	0	0	760
chr2	150210292	151731462	region222	1	0	0	761
chr10	42372579	43894771	region1039	1	0	0	761
chr14	41615502	43137389	region1336	1	0	0	761
chr7	104159525	105682905	region808	1	0	0	762
chr10	15026068	16551767	region1023	1	0	0	763
chr4	139556511	141084631	region491	1	0	0	764
chr8	54418044	55945581	region884	1	0	0	764
chr8	72289454	73817199	region895	1	0	0	764
chr12	64032461	65559695	region1218	1	0	0	764
chr20	15958359	17487232	region1629	1	0	0	764
chr20	36909530	38436761	region1640	1	0	0	764
chr1	229156248	230685255	region119	1	0	0	765
chr8	95005527	96534806	region908	1	0	0	765
chr17	67858770	69387817	region1523	1	0	0	765
chr1	61922365	63455089	region39	1	0	0	766
chr1	111741737	113273306	region69	1	0	0	766
chr2	125840921	127373764	region206	1	0	0	766
chr5	88891530	90422654	region574	1	0	0	766
chr5	103320005	104851483	region582	1	0	0	766
chr8	82693739	84225589	region901	1	0	0	766
chr20	20959710	22491456	region1632	1	0	0	766
chr1	4380811	5913893	region4	1	0	0	767
chr2	103588215	105125034	region194	1	0	0	768
chr1	66939404	68477895	region42	1	0	0	769
chr7	150711505	152249806	region837	1	0	0	769
chr10	80876749	82414679	region1061	1	0	0	769
chr13	113572488	115109853	region1323	1	0	0	769
chr14	44543227	46081896	region1338	1	0	0	769
chr17	77298636	78837588	region1528	1	0	0	769
chr15	56901773	58441366	region1404	1	0	0	770
chr6	77414881	78957728	region684	1	0	0	771
chr6	116131396	117672972	region708	1	0	0	771
chr18	60277715	61820252	region1565	1	0	0	771
chr3	121974097	123517768	region353	1	0	0	772
chr5	80481471	82025648	region569	1	0	0	772
chr11	33958739	35502605	region1118	1	0	0	772
chr5	61672995	63218987	region559	1	0	0	773
chr9	88590417	90136246	region980	1	0	0	773
chr16	75977954	77523678	region1470	1	0	0	773
chr5	33500180	35048970	region544	1	0	0	774
chr3	1441779	2992120	region279	1	0	0	775
chr12	23820634	25371083	region1196	1	0	0	775
chr3	20091348	21643707	region292	1	0	0	776
chr4	53877433	55429556	region438	1	0	0	776
chr8	89085481	90638162	region905	1	0	0	776
chr11	114830666	116383348	region1164	1	0	0	776
chr11	119215476	120766806	region1167	1	0	0	776
chr13	59302271	60854778	region1289	1	0	0	776
chr13	82581814	84133144	region1302	1	0	0	776
chr13	20686720	22242174	region1263	1	0	0	778
chr17	32912798	34469036	region1504	1	0	0	778
chr18	71971462	73526987	region1574	1	0	0	778
chr4	183371275	184929455	region517	1	0	0	779
chr5	125785649	127344604	region598	1	0	0	779
chr9	32019368	33578334	region961	1	0	0	779
chr11	76797209	78355058	region1138	1	0	0	779
chr14	81579714	83138097	region1362	1	0	0	779
chr16	1207206	2764829	region1431	1	0	0	779
chr2	214014282	215573795	region259	1	0	0	780
chr8	37379389	38938806	region876	1	0	0	780
chr4	186909090	188472981	region519	1	0	0	782
chr6	65765742	67329215	region677	1	0	0	782
chr1	154770403	156336133	region78	1	0	0	783
chr3	7083387	8648561	region283	1	0	0	783
chr5	52134622	53703044	region552	1	0	0	784
chr5	169505664	171074292	region623	1	0	0	784
chr6	123856181	125424383	region714	1	0	0	784
chr2	80050403	81620841	region185	1	0	0	785
chr7	156065250	157634597	region841	1	0	0	785
chr7	116780178	118351581	region814	1	0	0	786
chr15	59694116	61265836	region1406	1	0	0	786
chr15	32441811	34015425	region1388	1	0	0	787
chr3	29142260	30717955	region299	1	0	0	788
chr9	28811584	30387392	region958	1	0	0	788
chr11	4746709	6322869	region1099	1	0	0	788
chr17	5741334	7317398	region1489	1	0	0	788
chr11	62223771	63804569	region1130	1	0	0	790
chr20	52472549	54055266	region1649	1	0	0	791
chr12	115503216	117087471	region1250	1	0	0	792
chr1	63455089	65041704	region40	1	0	0	793
chr2	6836254	8422147	region138	1	0	0	793
chr6	91843196	93428644	region693	1	0	0	793
chr12	104848696	106436213	region1242	1	0	0	794
chr1	153180829	154770403	region77	1	0	0	795
chr3	47727212	49316972	region311	1	0	0	795
chr6	160580497	162169564	region735	1	0	0	795
chr12	39227169	40816185	region1204	1	0	0	795
chr16	27445755	29036613	region1452	1	0	0	795
chr3	130244735	131836516	region358	1	0	0	796
chr10	108726686	110317705	region1078	1	0	0	796
chr14	66399555	67992317	region1354	1	0	0	796
chr2	116772470	118367466	region201	1	0	0	797
chr6	13209388	14802924	region643	1	0	0	797
chr13	44901409	46495214	region1279	1	0	0	797
chr1	23920590	25516845	region17	1	0	0	798
chr4	128996665	130591885	region484	1	0	0	798
chr5	134777401	136376050	region602	1	0	0	799
chr15	41177514	42776399	region1394	1	0	0	799
chr19	57521335	59118839	region1617	1	0	0	799
chr1	113273306	114873845	region70	1	0	0	800
chr2	233550003	235150987	region270	1	0	0	800
chr3	22204244	23804865	region294	1	0	0	800
chr5	40287729	41888710	region548	1	0	0	800
chr5	153773088	155373505	region612	1	0	0	800
chr8	20060856	21661737	region864	1	0	0	800
chr10	60289987	61891409	region1049	1	0	0	801
chr10	96221243	97822357	region1071	1	0	0	801
chr17	61545589	63148128	region1520	1	0	0	801
chr3	63669286	65273538	region320	1	0	0	802
chr5	171074292	172678327	region624	1	0	0	802
chr7	43159074	44763828	region775	1	0	0	802
chr10	7171484	8774665	region1018	1	0	0	802
chr7	23471442	25077259	region764	1	0	0	803
chr20	5477850	7084073	region1622	1	0	0	803
chr2	239952643	241560084	region275	1	0	0	804
chr3	16282442	17891118	region289	1	0	0	804
chr9	79471208	81079055	region973	1	0	0	804
chr1	84844495	86454751	region52	1	0	0	805
chr4	115666246	117276929	region473	1	0	0	805
chr1	181144121	182755356	region92	1	0	0	806
chr11	10952027	12564229	region1104	1	0	0	806
chr9	105967976	107581749	region988	1	0	0	807
chr11	35502605	37116815	region1119	1	0	0	807
chr20	8117011	9730921	region1624	1	0	0	807
chr2	69139564	70755198	region179	1	0	0	808
chr7	97099570	98715474	region803	1	0	0	808
chr15	92164392	93780902	region1422	1	0	0	808
chr22	18296088	19912358	region1682	1	0	0	808
chr12	118135375	119754110	region1252	1	0	0	809
chr19	52985290	54602362	region1614	1	0	0	809
chr9	82590928	84211233	region975	1	0	0	810
chr5	85767290	87389991	region572	1	0	0	811
chr12	65559695	67181144	region1219	1	0	0	811
chr4	10699152	12323034	region411	1	0	0	812
chr14	78561945	80186579	region1360	1	0	0	812
chr22	16050408	17674295	region1680	1	0	0	812
chr4	122657987	124286481	region478	1	0	0	814
chr8	73817199	75445064	region896	1	0	0	814
chr2	196447456	198078110	region249	1	0	0	815
chr4	60741087	62371763	region442	1	0	0	815
chr2	212379518	214014282	region258	1	0	0	817
chr3	30717955	32351715	region300	1	0	0	817
chr7	76458564	78093859	region792	1	0	0	818
chr13	98938919	100574095	region1311	1	0	0	818
chr9	92528698	94167203	region982	1	0	0	819
chr3	173477285	175116539	region384	1	0	0	820
chr18	44299246	45939732	region1556	1	0	0	820
chr1	151538881	153180829	region76	1	0	0	821
chr17	45876022	47517400	region1511	1	0	0	821
chr1	94506191	96150893	region58	1	0	0	822
chr7	128778386	130422414	region822	1	0	0	822
chr9	139500342	141144796	region1010	1	0	0	822
chr18	61820252	63463402	region1566	1	0	0	822
chr11	97057058	98705065	region1151	1	0	0	824
chr11	104873284	106520894	region1156	1	0	0	824
chr1	91886317	93536459	region56	1	0	0	825
chr6	43756169	45406563	region665	1	0	0	825
chr20	3828413	5477850	region1621	1	0	0	825
chr3	4431647	6083183	region281	1	0	0	826
chr4	37255047	38907022	region430	1	0	0	826
chr17	63148128	64800430	region1521	1	0	0	826
chr12	30512406	32165592	region1200	1	0	0	827
chr2	137042794	138698117	region214	1	0	0	828
chr3	23804865	25461558	region295	1	0	0	828
chr8	17836399	19492840	region862	1	0	0	828
chr6	150253404	151912703	region729	1	0	0	830
chr11	28481593	30141357	region1115	1	0	0	830
chr17	8306425	9965921	region1491	1	0	0	830
chr19	6684885	8347513	region1585	1	0	0	831
chr1	214578266	216243634	region111	1	0	0	833
chr13	19020013	20686720	region1262	1	0	0	833
chr4	131283821	132954033	region486	1	0	0	835
chr15	50008043	51677560	region1399	1	0	0	835
chr21	44506268	46177105	region1677	1	0	0	835
chr2	50818928	52491133	region166	1	0	0	836
chr6	61880512	63552888	region675	1	0	0	836
chr9	4884926	6557589	region942	1	0	0	836
chr1	86454751	88128631	region53	1	0	0	837
chr4	132954033	134628434	region487	1	0	0	837
chr8	87411709	89085481	region904	1	0	0	837
chr14	38667725	40341990	region1334	1	0	0	837
chr5	29714820	31390249	region542	1	0	0	838
chr5	166847740	168525318	region621	1	0	0	839
chr11	32276901	33958739	region1117	1	0	0	841
chr1	69687616	71372470	region44	1	0	0	842
chr12	84303844	85990426	region1231	1	0	0	843
chr12	70957987	72645075	region1223	1	0	0	844
chr15	90475551	92164392	region1421	1	0	0	844
chr16	22448904	24136875	region1449	1	0	0	844
chr1	1892607	3582736	region2	1	0	0	845
chr10	129154362	130844284	region1090	1	0	0	845
chr12	46024229	47714793	region1208	1	0	0	845
chr16	14464002	16154060	region1444	1	0	0	845
chr1	79661198	81354191	region49	1	0	0	846
chr1	156336133	158027412	region79	1	0	0	846
chr7	55691584	57382638	region783	1	0	0	846
chr6	40345115	42038721	region663	1	0	0	847
chr4	152782184	154477641	region497	1	0	0	848
chr16	59045405	60745694	region1461	1	0	0	850
chr4	18841874	20544557	region417	1	0	0	851
chr2	26894985	28598777	region149	1	0	0	852
chr4	87534648	89238028	region458	1	0	0	852
chr10	13321600	15026068	region1022	1	0	0	852
chr17	72672203	74375560	region1525	1	0	0	852
chr2	140100271	141805351	region216	1	0	0	853
chr2	231843389	233550003	region269	1	0	0	853
chr4	172558635	174264132	region511	1	0	0	853
chr15	71922649	73628714	region1413	1	0	0	853
chr21	32668642	34376999	region1668	1	0	0	854
chr8	131639625	133351144	region928	1	0	0	856
chr9	9166403	10879253	region946	1	0	0	856
chr11	98705065	100417169	region1152	1	0	0	856
chr5	53703044	55417349	region553	1	0	0	857
chr11	22374142	24088517	region1111	1	0	0	857
chr3	192343814	194059671	region395	1	0	0	858
chr6	42038721	43756169	region664	1	0	0	859
chr9	107581749	109298754	region989	1	0	0	859
chr15	86652905	88369943	region1419	1	0	0	859
chr8	128659111	130381139	region926	1	0	0	861
chr3	56433907	58157519	region316	1	0	0	862
chr3	82643886	84367479	region332	1	0	0	862
chr6	37572596	39295677	region661	1	0	0	862
chr13	100574095	102300523	region1312	1	0	0	863
chr3	161524504	163253205	region377	1	0	0	864
chr3	116800153	118530251	region350	1	0	0	865
chr5	27984513	29714820	region541	1	0	0	865
chr8	84225589	85955619	region902	1	0	0	865
chr8	137524151	139254830	region932	1	0	0	865
chr19	42131573	43862455	region1607	1	0	0	865
chr1	96150893	97885249	region59	1	0	0	867
chr2	3973779	5708337	region136	1	0	0	867
chr2	161769733	163503551	region230	1	0	0	867
chr4	25609322	27343722	region421	1	0	0	867
chr6	78957728	80691170	region685	1	0	0	867
chr1	212842330	214578266	region110	1	0	0	868
chr1	235819436	237555628	region124	1	0	0	868
chr13	73934089	75670143	region1297	1	0	0	868
chr13	55817131	57554217	region1286	1	0	0	869
chr22	37570269	39307894	region1694	1	0	0	869
chr12	53039004	54778823	region1212	1	0	0	870
chr13	75670143	77410555	region1298	1	0	0	870
chr20	59561724	61301855	region1653	1	0	0	870
chr5	101578769	103320005	region581	1	0	0	871
chr9	135298842	137041122	region1006	1	0	0	871
chr1	201589975	203334734	region104	1	0	0	872
chr9	20463534	22206559	region952	1	0	0	872
chr3	13070799	14816900	region287	1	0	0	873
chr13	51591091	53339622	region1283	1	0	0	874
chr4	42213058	43965045	region433	1	0	0	876
chr6	87069500	88822140	region690	1	0	0	876
chr17	29786491	31538425	region1502	1	0	0	876
chr10	65794114	67549615	region1053	1	0	0	878
chr10	132580245	134336329	region1093	1	0	0	878
chr7	15143657	16902069	region759	1	0	0	879
chr11	89208936	90966490	region1145	1	0	0	879
chr14	71131957	72889615	region1356	1	0	0	879
chr17	53599432	55357541	region1516	1	0	0	879
chr12	57548860	59308666	region1215	1	0	0	880
chr16	55903774	57664330	region1459	1	0	0	880
chr8	38938806	40703337	region877	1	0	0	882
chr1	16897730	18662899	region12	1	0	0	883
chr13	102300523	104066710	region1313	1	0	0	883
chr15	55136269	56901773	region1403	1	0	0	883
chr2	10133	1781022	region134	1	0	0	885
chr5	77623332	79393144	region567	1	0	0	885
chr7	83801203	85572182	region796	1	0	0	885
chr20	697600	2469501	region1619	1	0	0	886
chr21	24696231	26469122	region1663	1	0	0	886
chr21	38711704	40482902	region1673	1	0	0	886
chr1	40200567	41975327	region25	1	0	0	887
chr2	175588929	177363636	region239	1	0	0	887
chr4	20544557	22319347	region418	1	0	0	887
chr17	1928731	3702312	region1486	1	0	0	887
chr17	51826118	53599432	region1515	1	0	0	887
chr13	78808813	80585676	region1300	1	0	0	888
chr7	82022686	83801203	region795	1	0	0	889
chr8	22897057	24674718	region866	1	0	0	889
chr11	87430235	89208936	region1144	1	0	0	889
chr12	16310460	18087873	region1193	1	0	0	889
chr4	170776510	172558635	region510	1	0	0	891
chr1	41975327	43758457	region26	1	0	0	892
chr3	176320287	178107165	region386	1	0	0	893
chr22	29651799	31439918	region1689	1	0	0	894
chr6	154974120	156763326	region732	1	0	0	895
chr15	70133341	71922649	region1412	1	0	0	895
chr18	45939732	47730584	region1557	1	0	0	895
chr3	72529329	74321817	region326	1	0	0	896
chr5	83972689	85767290	region571	1	0	0	897
chr7	78093859	79888069	region793	1	0	0	897
chr19	55728080	57521335	region1616	1	0	0	897
chr4	27965868	29762208	region423	1	0	0	898
chr4	113870102	115666246	region472	1	0	0	898
chr11	112459488	114257728	region1162	1	0	0	899
chr5	175450595	177251507	region627	1	0	0	900
chr10	31907519	33707968	region1034	1	0	0	900
chr13	43101027	44901409	region1278	1	0	0	900
chr14	89497643	91296860	region1368	1	0	0	900
chr3	163253205	165055469	region378	1	0	0	901
chr7	2772227	4573428	region748	1	0	0	901
chr9	18661051	20463534	region951	1	0	0	901
chr3	75704949	77508835	region328	1	0	0	902
chr1	18662899	20469149	region13	1	0	0	903
chr4	58935008	60741087	region441	1	0	0	903
chr8	29327896	31133729	region871	1	0	0	903
chr5	173642871	175450595	region626	1	0	0	904
chr22	24984204	26791628	region1686	1	0	0	904
chr2	48213001	50022257	region164	1	0	0	905
chr2	31550450	33363777	region153	1	0	0	907
chr4	22319347	24135529	region419	1	0	0	908
chr10	120591353	122407323	region1084	1	0	0	908
chr11	124495528	126311320	region1172	1	0	0	908
chr12	59308666	61123729	region1216	1	0	0	908
chr13	30483267	32301815	region1270	1	0	0	909
chr22	27834752	29651799	region1688	1	0	0	909
chr1	49894177	51713726	region32	1	0	0	910
chr1	90066303	91886317	region55	1	0	0	910
chr3	185068255	186890344	region391	1	0	0	911
chr6	17386405	19207487	region645	1	0	0	911
chr4	167852917	169676825	region508	1	0	0	912
chr5	75798866	77623332	region566	1	0	0	912
chr6	50386145	52210476	region669	1	0	0	912
chr9	14836363	16659655	region949	1	0	0	912
chr14	46749130	48573586	region1340	1	0	0	912
chr3	141339097	143164628	region364	1	0	0	913
chr17	57487512	59312755	region1518	1	0	0	913
chr3	85582231	87409732	region334	1	0	0	914
chr19	20905757	22732896	region1595	1	0	0	914
chr6	130935454	132765669	region718	1	0	0	915
chr22	32664986	34494914	region1691	1	0	0	915
chr7	90661784	92493752	region799	1	0	0	916
chr11	15742552	17578402	region1107	1	0	0	918
chr14	91296860	93132299	region1369	1	0	0	918
chr1	245506746	247344518	region132	1	0	0	919
chr1	182755356	184595513	region93	1	0	0	920
chr6	71609510	73450097	region681	1	0	0	920
chr6	108464380	110304247	region704	1	0	0	920
chr1	57021728	58865399	region36	1	0	0	922
chr16	24136875	25986862	region1450	1	0	0	925
chr12	27799773	29651255	region1198	1	0	0	926
chr15	38530777	40384132	region1392	1	0	0	927
chr21	27271019	29125226	region1665	1	0	0	927
chr6	85209989	87069500	region689	1	0	0	930
